sample_id,category,goal,launched_at,deadline,image_num,sentence_num,word_num,frame_num,state,dataset_type,url
2625295,Tabletop Games,12000,1598630400,1601308799,1,58,383,116,1,2,https://www.indiegogo.com/projects/virtue-signal-deplorables
571700,Home,50000,1384996924,1390233599,8,25,321,230,0,2,https://www.indiegogo.com/projects/ledo-touch-led-lamp-in-solid-surface
2631515,Comics,500,1601568000,1604246399,5,13,133,60,1,0,https://www.indiegogo.com/projects/halloween-tricks-and-treats-for-you
2257964,Culture,10033,1510024972,1512143999,2,31,236,138,1,2,https://www.indiegogo.com/projects/keep-solespace-strong-5-more-years-of-events
2059425,Energy & Green Tech,95000,1501435433,1504972799,10,49,408,220,0,1,https://www.indiegogo.com/projects/qwickfone-works-anytime-any-place-anywhere
1664833,Phones & Accessories,5000,1460906132,1464364799,28,30,157,98,0,0,https://www.indiegogo.com/projects/free-your-hands-anypost-is-great-for-multitasking
289055,Productivity,115000,1357797867,1361721599,37,262,2805,263,0,0,https://www.indiegogo.com/projects/legacy-engine-a-revolutionary-new-engine
1475141,Audio,30000,1445304602,1450540799,9,128,1004,42,0,2,https://www.indiegogo.com/projects/plasma-ferrofluid-sound-reactive-speaker
1625221,Photography,5107,1454293663,1457798399,4,30,240,134,1,2,https://www.indiegogo.com/projects/unchronicled-explorations
2493948,Writing & Publishing,25300,1561910400,1567180799,3,42,433,96,0,1,https://www.indiegogo.com/projects/craving-the-future-innovation-experiences-book
2575339,Comics,500,1582905600,1585151999,14,33,248,92,1,1,https://www.indiegogo.com/projects/brand-way-of-the-gun--2
1711280,Audio,89021,1461081599,1461167999,5,163,1430,113,1,1,https://www.indiegogo.com/projects/ripplebuds-world-s-1st-noise-blocking-earbuds
2416129,Phones & Accessories,8820,1547740799,1547827199,6,31,250,129,1,1,https://www.indiegogo.com/projects/smart-lens-one-for-all-fusionlens-2-0
849810,Local Businesses,100000,1406174307,1411401599,1,25,319,53,0,0,https://www.indiegogo.com/projects/enhance-our-kid-s-lives
654328,Fashion & Wearables,180000,1398967213,1404230399,2,196,1545,148,0,0,https://www.indiegogo.com/projects/resilience-watch
2345208,Tabletop Games,2000,1522625481,1527868799,8,165,1622,125,1,0,https://www.indiegogo.com/projects/solar-blades-cosmic-spells-tabletop-rpg
139739,Art,18000,1341534666,1346774399,8,77,476,288,0,0,https://www.indiegogo.com/projects/supra-clip-redefining-the-paper-clip
