sample_id,category,goal,launched_at,deadline,image_num,sentence_num,word_num,frame_num,audio_len,state,dataset_type,url
1614073669_1415290561,flight,100000,1423529524,1428709924,21,103,928,177,18,0,0,https://www.kickstarter.com/projects/1614073669/iceu-spectres?ref=discovery_category_newest
1720617403_1569303251,gadgets,30000,1593622807,1596214807,6,91,846,157,16,1,0,https://www.kickstarter.com/projects/squonk/funkey-s-the-worlds-smallest-foldable-handheld-console?ref=discovery_category_newest
1041902082_1444672720,camera equipment,16000,1446741014,1449333014,10,18,154,133,14,1,1,https://www.kickstarter.com/projects/blindspotgear/the-tile-light-pocket-sized-premium-film-lighting?ref=discovery_category_newest
636265772_1588001700,makerspaces,70200,1590040514,1592632514,6,23,694,70,7,0,0,https://www.kickstarter.com/projects/chekochi/dipz?ref=discovery_category_newest
2103562743_1472162543,gadgets,250000,1488475968,1492360368,8,12,83,140,14,0,2,https://www.kickstarter.com/projects/powerhunt/cortex-intelligent-rugged-off-grid-power-storage?ref=discovery_category_newest
1097965489_1422948856,hardware,15000,1423695556,1426370356,15,49,532,142,14,1,2,https://www.kickstarter.com/projects/1097965489/lightors-the-worlds-first-monster-batteries?ref=discovery_category_newest
1651891846_1570979285,wearables,40000,1572971734,1575809160,7,76,630,620,61,0,2,https://www.kickstarter.com/projects/sunclip-eyewear/sunclip-a-shade-smarter?ref=discovery_category_newest
1309291392_1461775876,hardware,60000,1462218555,1464810555,5,48,440,252,25,0,1,https://www.kickstarter.com/projects/crop-cop/crop-cop-animal-deterrent-for-agriculture-by-nixer?ref=discovery_category_newest
1855068216_1523465528,camera equipment,15000,1528908009,1530722409,19,75,610,238,24,1,1,https://www.kickstarter.com/projects/aurora-aperture/powerxnd-mark-ii-the-best-variable-nd-filters-1-11?ref=discovery_category_newest
320685564_1444662795,software,25000,1445782923,1448378523,2,50,435,42,5,0,0,https://www.kickstarter.com/projects/rexappbuilder/rex-app-builder?ref=discovery_category_newest
1088476847_1442601941,robots,30000,1443280230,1448467830,9,82,530,175,18,1,0,https://www.kickstarter.com/projects/wiggly/easy-drone-xl-pro-longest-flying-quadcopter-on-the?ref=discovery_category_newest
330755114_1566513223,hardware,60000,1569297942,1571975940,17,65,798,175,18,0,0,https://www.kickstarter.com/projects/grassrootsmfg/pact-plate-a-modular-and-reconfigurable-base-plate-system?ref=discovery_category_newest
563474382_1584593620,apps,10000,1606226433,1608883140,1,41,253,49,5,0,2,https://www.kickstarter.com/projects/downvibe/downvibe?ref=discovery_category_newest
1670187625_1440104666,gadgets,24000,1443110410,1445702410,20,147,1154,163,16,1,1,https://www.kickstarter.com/projects/1670187625/see-sense-icon-the-intelligent-and-connected-cycle?ref=discovery_category_newest
732125509_1453909040,sound,25000,1456571450,1459418400,10,31,271,104,11,0,0,https://www.kickstarter.com/projects/732125509/ss07-high-quality-stereo-microphone-for-android?ref=discovery_category_newest
805911573_1578152775,hardware,46000,1590580610,1593172610,2,40,289,49,5,0,0,https://www.kickstarter.com/projects/gleamoutdoor/atom-an-extraordinary-camping-lantern?ref=discovery_category_newest
1372713581_1598209321,apps,25000,1598227344,1600819344,4,80,838,51,6,0,0,https://www.kickstarter.com/projects/yahmassiach/our-solution-is-in-acts?ref=discovery_category_newest
2017918100_1505558748,apps,45000,1509457732,1512053332,4,80,496,83,9,0,0,https://www.kickstarter.com/projects/2017918100/iris-intelligent-receipts?ref=discovery_category_newest
1093882865_1498653229,hardware,60000,1512549425,1517733425,11,37,451,163,16,0,0,https://www.kickstarter.com/projects/1093882865/italjet-motoleggera?ref=discovery_category_newest
1431030764_1430175487,sound,10000,1437591382,1441479382,8,110,855,206,21,1,0,https://www.kickstarter.com/projects/haudi/haudi-hear-and-understand-dialogue-on-your-tv?ref=discovery_category_newest
1447024032_1564656771,camera equipment,35000,1570471165,1573938000,4,131,1180,282,28,1,1,https://www.kickstarter.com/projects/adaptalux/adaptalux-flash-arms-adaptable-flash-photography-lighting?ref=discovery_category_newest
1523461487_1504244455,camera equipment,20000,1508248277,1510843877,18,122,974,77,8,0,1,https://www.kickstarter.com/projects/1523461487/glidearm-ii?ref=discovery_category_newest
1326116777_1410195066,wearables,215000,1410904223,1413496223,1,156,1053,162,16,0,1,https://www.kickstarter.com/projects/securityblanket/security-blanket-help-kids-get-home-safe?ref=discovery_category_newest
1519508670_1573600101,apps,6000,1574188221,1577073600,3,22,149,57,6,0,0,https://www.kickstarter.com/projects/wedeliver/app-development-to-deliver-goods-from-large-businesses?ref=discovery_category_newest
362437302_1603245532,apps,225500,1609439179,1614623179,2,70,824,65,7,0,0,https://www.kickstarter.com/projects/luxey/luxey?ref=discovery_category_newest
2044156512_1556220378,apps,4000,1557468359,1560924359,3,30,251,66,7,0,0,https://www.kickstarter.com/projects/2044156512/buddyler-the-butler-app-for-everyone-0?ref=discovery_category_newest
1671786137_1591184245,robots,50000,1598284877,1602165600,14,205,1609,123,13,1,2,https://www.kickstarter.com/projects/petoi/bittle?ref=discovery_category_newest
979999661_1597173821,gadgets,20000,1600874809,1603486800,16,52,503,268,27,1,1,https://www.kickstarter.com/projects/ravean/ravean-electric-hand-warmers?ref=discovery_category_newest
50508501_1431958239,gadgets,15000,1432838364,1435792740,13,63,461,195,20,1,1,https://www.kickstarter.com/projects/50508501/fusion-unleash-iphones-gaming-power?ref=discovery_category_newest
977976098_1615439137,wearables,200000,1620537400,1624425400,7,8,28,85,9,0,0,https://www.kickstarter.com/projects/visma/visma-the-visible-mask?ref=discovery_category_newest
1203003569_1511174057,hardware,5000,1511880996,1513738800,15,156,1417,254,25,1,0,https://www.kickstarter.com/projects/1203003569/brainplus-smart-eeg-device-for-your-better-brain-2?ref=discovery_category_newest
555174357_1445962187,hardware,15000,1449651717,1453107717,1,53,564,85,9,1,2,https://www.kickstarter.com/projects/555174357/zkoo-the-worlds-most-advanced-gesture-tracking-cam?ref=discovery_category_newest
1608743218_1470723537,diy electronics,1500,1471451109,1474043109,1,45,291,51,6,0,1,https://www.kickstarter.com/projects/1608743218/doorgreeter-app?ref=discovery_category_newest
1626798797_1527609124,hardware,20000,1529408240,1533296240,1,34,361,180,18,1,2,https://www.kickstarter.com/projects/1626798797/domio-pro-a-game-changer-in-helmet-audio-and-commu?ref=discovery_category_newest
1862826375_1503093932,gadgets,15000,1503751109,1506775109,27,37,235,177,18,0,0,https://www.kickstarter.com/projects/1862826375/unirack-the-worlds-first-universal-rack-for-bicycl?ref=discovery_category_newest
1331775203_1545987000,gadgets,3000,1550592003,1553180403,5,44,298,208,21,1,0,https://www.kickstarter.com/projects/1331775203/stemoscope-listen-to-the-sound-of-life?ref=discovery_category_newest
1629857384_1566380748,gadgets,3388,1570809873,1572278673,12,40,309,96,10,1,0,https://www.kickstarter.com/projects/1629857384/imstone-wireless-charging-binder-20-with-zipper?ref=discovery_category_newest
1004630771_1593505781,hardware,500,1599014745,1602902745,33,82,784,123,13,1,0,https://www.kickstarter.com/projects/dasung/not-ereader-103-unprecedented-smart-e-ink-tablet?ref=discovery_category_newest
823107889_1483232823,software,32000,1484957523,1487549523,9,121,789,230,23,0,0,https://www.kickstarter.com/projects/823107889/traits-from-pix?ref=discovery_category_newest
1424879561_1449333708,3d printing,25000,1450453434,1453045434,3,60,538,33,4,0,1,https://www.kickstarter.com/projects/1424879561/essemplextm-3d-printable-shape-memory-polymer-fila?ref=discovery_category_newest
290066408_1505569878,camera equipment,8000,1506521864,1509113864,8,29,153,65,7,0,2,https://www.kickstarter.com/projects/290066408/stand-by-chest?ref=discovery_category_newest
2065435222_1480095601,diy electronics,4000,1493903600,1497359600,17,59,489,69,7,1,2,https://www.kickstarter.com/projects/2065435222/pcbgrip-vise-panavise-model-201-base-compatible?ref=discovery_category_newest
165872255_1533916237,web,10000,1540199892,1543054692,4,69,484,126,13,0,0,https://www.kickstarter.com/projects/connectaid/connectaid-the-international-solidarity-network?ref=discovery_category_newest
753069628_1543874080,gadgets,25000,1563756517,1566348517,2,21,145,52,6,0,0,https://www.kickstarter.com/projects/outermotion/dice-weaponry?ref=discovery_category_newest
1472981380_1472228844,hardware,5000,1480616454,1483208454,5,77,774,125,13,1,0,https://www.kickstarter.com/projects/1472981380/bibo-barmaid-rethink-the-drink?ref=discovery_category_newest
3938543_1544394384,web,2500,1545157805,1547749805,2,49,395,300,30,1,2,https://www.kickstarter.com/projects/risastein/wwwgenuineucom-mental-health-support-for-students?ref=discovery_category_newest
54255162_1600016906,gadgets,2000,1600966806,1603465200,25,67,560,136,14,1,0,https://www.kickstarter.com/projects/browndoggadgets/bit-board?ref=discovery_category_newest
822202767_1362714583,robots,2500,1362788496,1365317940,3,33,210,98,10,1,0,https://www.kickstarter.com/projects/ericdlee/scotbotics-team-3873-robotics-world-championship?ref=discovery_category_newest
1797555169_1558314530,apps,17000,1562857072,1568041072,11,25,227,55,6,0,0,https://www.kickstarter.com/projects/treyage/treyage-a-helping-hand-for-your-love-ones?ref=discovery_category_newest
1967909223_1459229315,hardware,48000,1463026877,1465618877,2,56,551,85,9,0,0,https://www.kickstarter.com/projects/1967909223/wave-wing-sup-fin-increased-stability-and-performa?ref=discovery_category_newest
